ITEM_PLAN;CTO_SIROPE;CTO_GIS_CMS;DIRECCION;NUMERO;TIPO;PISO;X;Y
19-2121500014;CTOMAG02017-34;;SAN FELIPE 150 - TORRE B;;;11;-77.05776016;-12.08139445
19-2121500014;CTOMAG02017-35;;SAN FELIPE 150 - TORRE B;;;8;-77.05776016;-12.08139445
19-2121500014;CTOMAG02017-36;;SAN FELIPE 150 - TORRE B;;;6;-77.05776016;-12.08139445
19-2121500014;CTOMAG02017-37;;SAN FELIPE 150 - TORRE B;;;3;-77.05776016;-12.08139445
19-2121500014;CTOMAG02017-38;;SAN FELIPE 150 - TORRE B;;;1;-77.05776016;-12.08139445
19-2121500012;SSSJG0101511;;RAMIREZ 142;;;;-77.08560242;-12.07589505
19-2121500011;SJG0101512;;JOSEFINA RAMOS DE COX 152;;;;-77.08667067;-12.07509976
19-2121500008;MAD300812;;ABRAHAM VALDELOMAR 561;;;4;-77.06703292;-12.07175073
19-2121500008;MAD300813;;ABRAHAM VALDELOMAR 561;;;2;-77.06703292;-12.07175073
19-2121500006;MATK100774;;RODOLFO RUTTE 480;;;5;-77.06402567;-12.09261458
19-2121500006;MATK100775;;RODOLFO RUTTE 480;;;2;-77.06402567;-12.09261458
19-2121500002;CTO41-SJTK2015;;HUANCAURI 167;;;3;-77.09559751;-12.06679467
19-2111200205;HID200933;;EDIFICIO BENAVIDES;;;3;-76.98633094;-12.1279296
19-2111200205;HID200934;;EDIFICIO BENAVIDES;;;7;-76.98633094;-12.1279296
19-2111200203;BAU0TK101175;;EDIFICIO SOLDADO CABADA;;;1;-77.02075078;-12.13679553
19-2111200203;BAU0TK101176;;EDIFICIO SOLDADO CABADA;;;3;-77.02075078;-12.13679553
19-2111200203;BAU0TK101177;;EDIFICIO SOLDADO CABADA;;;5;-77.02075078;-12.13679553
19-2111200203;BAU0TK101178;;EDIFICIO SOLDADO CABADA;;;7;-77.02075078;-12.13679553
19-2111200198;CRU0TK200431;CRG8020431;TORRES A - B;;;2;-76.99633264;-12.18228098
19-2111200198;CRU0TK200432;CRG8020432;TORRES A - B;;;4;-76.99633264;-12.18228098
19-2111200198;CRU0TK200433;CRG8020433;TORRES A - B;;;5;-76.99633264;-12.18228098
